 id                  year                month               vsm-C               vsm-DC              vsm-H               
 1                   1989                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 2                   1989                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 3                   1989                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 4                   1989                4                     -1.4049373541627675E-002  -1.6898685666767249E-002  -1.5201493162280057E-002
 5                   1989                5                     -1.1106641359506531E-002  -1.5607684616188160E-002  -1.0269361852873658E-002
 6                   1989                6                     -6.7228683857846541E-002  -8.3702064876178109E-002  -8.6932218821264964E-002
 7                   1989                7                    -0.39272211688605324      -0.65797255394414067       -1.1183818273549195     
 8                   1989                8                     -3.0233900656659096E-002  -2.9367276327710627E-002  -4.6387242690202661E-002
 9                   1989                9                    -0.23885852406172464      -0.41709462658493324      -0.47209240641412020     
 10                  1989                10                    -2.4748620827054858E-002  -3.4025105801257817E-002  -3.7253513050909105E-002
 11                  1989                11                    -3.5061733240203896E-002  -4.7910197424555205E-002  -5.1148641072238717E-002
 12                  1989                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 13                  1990                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 14                  1990                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 15                  1990                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 16                  1990                4                     -1.4049373541627675E-002  -1.6898685666767249E-002  -1.5201493162280057E-002
 17                  1990                5                     -1.1106641359506531E-002  -1.5607684616188160E-002  -1.0269361852873658E-002
 18                  1990                6                     -6.7228683857846541E-002  -8.3702064876178109E-002  -8.6932218821264964E-002
 19                  1990                7                    -0.39272211688605324      -0.65797255394414067       -1.1183818273549195     
 20                  1990                8                     -3.0233900656659096E-002  -2.9367276327710627E-002  -4.6387242690202661E-002
 21                  1990                9                     -3.7253513050909105E-002  -3.7253513050909105E-002  -5.4666811163831548E-002
 22                  1990                10                    -5.2870926500710833E-002  -7.2218096464542719E-002  -8.6932218821264964E-002
 23                  1990                11                    -3.3025621230412229E-002  -4.2166733874703044E-002  -4.2166733874703044E-002
 24                  1990                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 1                   1991                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 2                   1991                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 3                   1991                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 4                   1991                4                     -1.4049373541627675E-002  -1.6898685666767249E-002  -1.5201493162280057E-002
 5                   1991                5                     -1.1106641359506531E-002  -1.5607684616188160E-002  -1.0269361852873658E-002
 6                   1991                6                     -6.7228683857846541E-002  -8.3702064876178109E-002  -8.6932218821264964E-002
 7                   1991                7                    -0.39272211688605324      -0.65797255394414067       -1.1183818273549195     
 8                   1991                8                     -3.0233900656659096E-002  -2.9367276327710627E-002  -4.6387242690202661E-002
 9                   1991                9                    -0.23885852406172464      -0.41709462658493324      -0.47209240641412020     
 10                  1991                10                    -2.4748620827054858E-002  -3.4025105801257817E-002  -3.7253513050909105E-002
 11                  1991                11                    -3.5061733240203896E-002  -4.7910197424555205E-002  -5.1148641072238717E-002
 12                  1991                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 13                  1992                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 14                  1992                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 15                  1992                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 16                  1992                4                     -1.4049373541627675E-002  -1.6898685666767249E-002  -1.5201493162280057E-002
 17                  1992                5                     -1.1106641359506531E-002  -1.5607684616188160E-002  -1.0269361852873658E-002
 18                  1992                6                     -6.7228683857846541E-002  -8.3702064876178109E-002  -8.6932218821264964E-002
 19                  1992                7                    -0.39272211688605324      -0.65797255394414067       -1.1183818273549195     
 20                  1992                8                     -3.0233900656659096E-002  -2.9367276327710627E-002  -4.6387242690202661E-002
