id	year	month	vsm-C	vsm-DC	vsm-H
98	1999	2	0.1001	0.1001	0.1001
99	1999	3	0.1001	0.1001	0.1001
100	1999	4	0.265	0.263333333	0.293333333
101	1999	5	0.251666667	0.245	0.256666667
102	1999	6	0.16	0.156666667	0.175
103	1999	7	0.103333333	0.085	0.118333333
104	1999	8	0.151666667	0.173333333	0.181666667
105	1999	9	0.185	0.201666667	0.201666667
106	1999	10	0.236666667	0.236666667	0.256666667
107	1999	11	0.241666667	0.238333333	0.258333333
108	1999	12	0.1001	0.1001	0.1001
109	2000	1	0.1001	0.1001	0.1001
110	2000	2	0.1001	0.1001	0.1001
111	2000	3	0.1001	0.1001	0.1001
112	2000	4	0.291666667	0.311666667	0.323333333
113	2000	5	0.296666667	0.271666667	0.3125
114	2000	6	0.28	0.268333333	0.307222222
115	2000	7	0.193333333	0.199166667	0.226666667
116	2000	8	0.254166667	0.269166667	0.2825
117	2000	9	0.2525	0.265	0.259166667
118	2000	10	0.25	0.2475	0.239166667
119	2000	11	0.305	0.293333333	0.299166667
120	2000	12	0.1001	0.1001	0.1001
121	2001	1	0.1001	0.1001	0.1001
122	2001	2	0.1001	0.1001	0.1001
123	2001	3	0.1001	0.1001	0.1001
124	2001	4	0.2925	0.290833333	0.315
125	2001	5	0.258333333	0.256666667	0.273333333
126	2001	6	0.303333333	0.293333333	0.311666667
127	2001	7	0.24	0.241666667	0.253333333
128	2001	8	0.155833333	0.149166667	0.169166667
129	2001	9	0.1001	0.1001	0.1001
130	2001	10	0.15	0.141666667	0.171666667
131	2001	11	0.2	0.21	0.218333333
132	2001	12	0.1001	0.1001	0.1001
133	2002	1	0.1001	0.1001	0.1001
134	2002	2	0.1001	0.1001	0.1001
135	2002	3	0.1001	0.1001	0.1001
136	2002	4	0.293333333	0.27	0.306666667
137	2002	5	0.393333333	0.28	0.303333333
138	2002	6	0.303333333	0.271666667	0.27
139	2002	7	0.155	0.141666667	0.166666667
140	2002	8	0.15	0.125	0.143333333
141	2002	9	0.126666667	0.133333333	0.123333333
142	2002	10	0.171666667	0.153333333	0.143333333
143	2002	11	0.48	0.451666667	0.403333333
144	2002	12	0.1001	0.1001	0.1001
145	2003	1	0.1001	0.1001	0.1001
146	2003	2	0.1001	0.1001	0.1001
147	2003	3	0.1001	0.1001	0.1001
148	2003	4	0.293333333	0.316	0.313333333
149	2003	5	0.393333333	0.310454546	0.29
150	2003	6	0.303333333	0.286666667	0.293333333
151	2003	7	0.155	0.141666667	0.166666667
152	2003	8	0.15	0.245	0.24
153	2003	9	0.126666667	0.163333333	0.185
154	2003	10	0.171666667	0.236666667	0.233333333
155	2003	11	0.48	0.266666667	0.281666667
156	2003	12	0.1001	0.1001	0.1001
157	2004	1	0.1001	0.1001	0.1001
158	2004	2	0.1001	0.1001	0.1001
159	2004	3	0.1001	0.1001	0.1001
160	2004	4	0.293333333	0.316	0.313333333
161	2004	5	0.393333333	0.310454546	0.29
162	2004	6	0.303333333	0.286666667	0.293333333
163	2004	7	0.155	0.141666667	0.166666667
164	2004	8	0.15	0.245	0.24
165	2004	9	0.126666667	0.163333333	0.185
166	2004	10	0.171666667	0.236666667	0.233333333
167	2004	11	0.48	0.266666667	0.281666667
168	2004	12	0.1001	0.1001	0.1001
169	2005	1	0.1001	0.1001	0.1001
170	2005	2	0.1001	0.1001	0.1001
171	2005	3	0.1001	0.1001	0.1001
172	2005	4	0.293333333	0.316	0.313333333
173	2005	5	0.393333333	0.310454546	0.29
174	2005	6	0.303333333	0.286666667	0.293333333
175	2005	7	0.155	0.141666667	0.166666667
176	2005	8	0.15	0.245	0.24
177	2005	9	0.126666667	0.163333333	0.185
178	2005	10	0.171666667	0.236666667	0.233333333
179	2005	11	0.48	0.266666667	0.281666667
180	2005	12	0.1001	0.1001	0.1001
181	2006	1	0.1001	0.1001	0.1001
182	2006	2	0.1001	0.1001	0.1001
183	2006	3	0.1001	0.1001	0.1001
184	2006	4	0.293333333	0.316	0.313333333
185	2006	5	0.393333333	0.310454546	0.29
186	2006	6	0.303333333	0.286666667	0.293333333
187	2006	7	0.155	0.141666667	0.166666667
188	2006	8	0.29	0.266	0.266666667
189	2006	9	0.286666667	0.271166667	0.282833333
190	2006	10	0.3725	0.341666667	0.349166667
191	2006	11	0.321666667	0.321666667	0.315
192	2006	12	0.1001	0.1001	0.1001
193	2007	1	0.1001	0.1001	0.1001
194	2007	2	0.1001	0.1001	0.1001
195	2007	3	0.1001	0.1001	0.1001
196	2007	4	0.293333333	0.316	0.313333333
197	2007	5	0.433333333	0.439333333	0.418333333
198	2007	6	0.27625	0.272	0.26525
199	2007	7	0.344444444	0.344333333	0.3066
200	2007	8	0.078333333	0.076666667	0.066333333
201	2007	9	0.114833333	0.114083333	0.106166667
202	2007	10	0.161833333	0.1485	0.142166667
203	2007	11	0.218916667	0.2035	0.186916667
204	2007	12	0.1001	0.1001	0.1001
205	2008	1	0.1001	0.1001	0.1001
206	2008	2	0.1001	0.1001	0.1001
207	2008	3	0.1001	0.1001	0.1001
208	2008	4	0.30525	0.30	0.29
209	2008	5	0.225	0.22	0.21
210	2008	6	0.182416667	0.19	0.18
211	2008	7	0.160416667	0.15	0.15
212	2008	8	0.21275	0.21	0.18
213	2008	9	0.204	0.19	0.16
214	2008	10	0.19525	0.18	0.14
215	2008	11	0.220196429	0.21	0.19
216	2008	12	0.245142857	0.23	0.23
217	2009	1	0.1001	0.1001	0.1001
218	2009	2	0.1001	0.1001	0.1001
219	2009	3	0.228333333	0.238333333	0.202833333
220	2009	4	0.201833333	0.185	0.149444445
221	2009	5	0.222833333	0.212222222	0.162777778
222	2009	6	0.165555556	0.165555556	0.145555556
223	2009	7	0.206866667	0.193333333	0.176111111
224	2009	8	0.11605	0.117222222	0.098888889
225	2009	9	0.127416667	0.115833334	0.107777778
226	2009	10	0.182111111	0.165555556	0.146111111
227	2009	11	0.20475	0.195	0.16
228	2009	12	0.1001	0.1001	0.1001
229	2010	1	0.1001	0.1001	0.1001
230	2010	2	0.1001	0.1001	0.1001
231	2010	3	0.228333333	0.24	0.20
232	2010	4	0.201833333	0.19	0.15
233	2010	5	0.222833333	0.21	0.16
234	2010	6	0.165555556	0.17	0.15
235	2010	7	0.206866667	0.19	0.18
236	2010	8	0.11605	0.12	0.10
237	2010	9	0.127416667	0.12	0.11
238	2010	10	0.182111111	0.17	0.15
239	2010	11	0.20475	0.20	0.16
240	2010	12	0.1001	0.1001	0.1001
