MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
010422	0.00003525	13.39405	0.26755	-0.046427	3.7
010423	0.00003525	13.2964	0.26755	-0.0464765	3.7
010424	0.00003525	13.2127	0.2673	-0.0465155	3.7
010501	0.00003525	13.78465	0.26705	-0.04660575	3.7
010502	0.00003525	13.5754	0.267025	-0.0466405	3.7
010503	0.00003525	13.31035	0.266775	-0.0467325	3.7
010504	0.00003525	13.129	0.266525	-0.04715175	3.7
010505	0.00003525	13.129	0.266525	-0.04715175	3.7
010506	0.00003525	12.9337	0.266525	-0.04715175	3.7
010507	0.00003525	12.80815	0.26625	-0.04728225	3.7
010508	0.00003525	12.9058	0.26625	-0.04728225	3.7
010509	0.00003525	13.42195	0.26625	-0.04722575	3.7
010510	0.00003525	13.7707	0.266	-0.04732125	3.7
010511	0.00003525	14.06365	0.26575	-0.04741825	3.7
010512	0.00003525	14.11945	0.265475	-0.04755225	3.7
010513	0.00003525	14.53795	0.265225	-0.0479275	3.7
010514	0.00003525	14.53795	0.264975	-0.04802825	3.7
010515	0.00003525	14.6356	0.264725	-0.048131	3.7
010516	0.00003525	14.4124	0.264225	-0.0483425	3.7
010517	0.00003525	14.1334	0.26395	-0.0484865	3.7
010518	0.00003525	13.6312	0.2632	-0.04875025	3.7
010519	0.00003525	13.56145	0.2632	-0.048826	3.7
010520	0.00003525	13.5754	0.2737	-0.04774325	3.7
010521	0.00003525	14.0497	0.27495	-0.048099	3.7
010522	0.00003525	13.9939	0.272425	-0.04856275	3.7
010523	0.00003525	13.89625	0.273675	-0.04867075	3.7
010524	0.00003525	13.8544	0.272925	-0.04884925	3.7
010601	0.00003525	13.33825	0.271175	-0.04924125	3.7
010602	0.00003525	13.3801	0.270175	-0.0494555	3.7
010603	0.00003525	13.31035	0.26965	-0.0496625	3.7
010604	0.00003525	13.2406	0.2694	-0.0495635	3.7
010605	0.00003525	13.05925	0.26915	-0.04958825	3.7
010606	0.00003525	12.7942	0.27015	-0.04951225	3.7
010607	0.00003525	12.69655	0.2724	-0.04908	3.7
010608	0.00003525	12.6268	0.273375	-0.0486105	3.7
010609	0.00003525	12.9616	0.274375	-0.04805575	3.7
010610	0.00003525	13.2964	0.274375	-0.04780475	3.7
010611	0.00003525	13.33825	0.274625	-0.04754975	3.7
010612	0.00003525	13.70095	0.274875	-0.0473125	3.7
010613	0.00003525	14.14735	0.27435	-0.04739775	3.7
010614	0.00003525	14.34265	0.2746	-0.047178	3.7
010615	0.00003525	14.42635	0.27435	-0.047526	3.7
010616	0.00003525	14.28685	0.27385	-0.04763925	3.7
010617	0.00003525	13.9939	0.2731	-0.04784475	3.7
010618	0.00003525	13.4638	0.272075	-0.04812	3.7
010619	0.00003525	13.2685	0.271325	-0.0484115	3.7
010620	0.00003525	13.129	0.270575	-0.04856775	3.7
